t,x,y
2.993072E-1,1.714135E-1,5.384469E-2
3.325636E-1,1.531316E-1,4.617809E-2
3.658199E-1,1.308491E-1,3.837354E-2
3.990763E-1,1.038670E-1,3.165121E-2
4.323326E-1,7.542798E-2,2.606313E-2
4.655890E-1,4.481530E-2,2.313418E-2
4.988454E-1,1.087239E-2,2.362578E-2
5.321017E-1,-2.061295E-2,2.705941E-2
5.653581E-1,-4.930881E-2,3.238800E-2
5.986144E-1,-7.500346E-2,3.940096E-2
6.318708E-1,-9.709097E-2,4.727342E-2
6.651271E-1,-1.144524E-1,5.446416E-2
6.983835E-1,-1.277712E-1,6.038535E-2
7.316399E-1,-1.354448E-1,6.453957E-2
7.648962E-1,-1.384761E-1,6.623508E-2
7.981526E-1,-1.367384E-1,6.532546E-2
8.314089E-1,-1.298268E-1,6.142909E-2
8.646653E-1,-1.179122E-1,5.566613E-2
8.979216E-1,-1.015308E-1,4.795035E-2
9.311780E-1,-8.031933E-2,4.113769E-2
9.644343E-1,-5.544475E-2,3.415302E-2
9.976907E-1,-2.711828E-2,2.823741E-2
1.030947E0,3.307006E-3,2.440319E-2
1.064203E0,3.382056E-2,2.360074E-2
1.097460E0,6.337937E-2,2.534323E-2
1.130716E0,9.394396E-2,3.003329E-2
1.163972E0,1.220759E-1,3.682350E-2
1.197229E0,1.448880E-1,4.463103E-2
1.230485E0,1.635729E-1,5.191585E-2
1.263742E0,1.778872E-1,5.847436E-2
1.296998E0,1.870103E-1,6.345998E-2
1.330254E0,1.913565E-1,6.590944E-2
1.363511E0,1.907694E-1,6.540556E-2
1.396767E0,1.853517E-1,6.259761E-2
1.430023E0,1.743828E-1,5.692200E-2
1.463280E0,1.591810E-1,4.971321E-2
1.496536E0,1.389749E-1,4.216849E-2
1.529792E0,1.147163E-1,3.488857E-2
1.563049E0,8.586249E-2,2.549502E-2
1.596305E0,6.034597E-2,2.516387E-2
1.629561E0,2.970746E-2,2.242688E-2
1.662818E0,8.523469E-6,2.442454E-2
1.696074E0,-3.130828E-2,2.911593E-2
1.729331E0,-5.915580E-2,3.481001E-2
1.762587E0,-8.270355E-2,4.249570E-2
1.795843E0,-1.029806E-1,4.982864E-2
1.829100E0,-1.178183E-1,5.678574E-2
1.862356E0,-1.281895E-1,6.188796E-2
1.895612E0,-1.339231E-1,6.475833E-2
1.928869E0,-1.345815E-1,6.515709E-2
1.962125E0,-1.303791E-1,6.285966E-2
1.995381E0,-1.212964E-1,5.834612E-2
2.028638E0,-1.075648E-1,5.171407E-2
2.061894E0,-8.951525E-2,4.380904E-2
2.095150E0,-6.689098E-2,3.591855E-2
2.128407E0,-4.044122E-2,2.980423E-2
2.161663E0,-1.130181E-2,2.414749E-2
2.194920E0,2.017430E-2,2.307650E-2
2.228176E0,4.898077E-2,2.364034E-2
2.261432E0,7.730799E-2,2.699923E-2
2.294689E0,1.062706E-1,3.269047E-2
2.327945E0,1.319305E-1,4.000911E-2
2.361201E0,1.529868E-1,4.734042E-2
2.394458E0,1.694252E-1,5.440729E-2
2.427714E0,1.815526E-1,6.013962E-2
2.460970E0,1.882298E-1,6.364724E-2
2.494227E0,1.901938E-1,6.492274E-2
2.527483E0,1.871214E-1,6.342438E-2
2.560739E0,1.788893E-1,5.930460E-2
2.593996E0,1.662728E-1,5.329031E-2
2.627252E0,1.487464E-1,4.602544E-2
2.660509E0,1.265966E-1,3.796529E-2
2.693765E0,9.938740E-2,3.017430E-2
2.727021E0,7.009049E-2,2.548455E-2
2.760278E0,4.586431E-2,2.357886E-2
2.793534E0,1.573081E-2,2.365595E-2
2.826790E0,-1.585266E-2,2.649117E-2
2.860047E0,-4.443586E-2,3.139763E-2
2.893303E0,-6.977846E-2,3.814804E-2
2.926559E0,-9.118611E-2,4.539714E-2
2.959816E0,-1.085122E-1,5.278378E-2
2.993072E0,-1.212260E-1,5.853720E-2
3.026328E0,-1.297806E-1,6.139728E-2
3.059585E0,-1.330203E-1,6.315821E-2
3.092841E0,-1.313162E-1,6.199059E-2
3.126098E0,-1.250706E-1,5.852935E-2
3.159354E0,-1.138835E-1,5.288715E-2
3.192610E0,-9.818275E-2,4.591658E-2
3.225867E0,-7.790096E-2,3.826472E-2
3.259123E0,-5.323831E-2,3.304292E-2
3.292379E0,-2.571835E-2,2.739841E-2
3.325636E0,3.811378E-3,2.418393E-2
3.358892E0,3.397216E-2,2.365168E-2
3.392148E0,6.246100E-2,2.519022E-2
3.425405E0,9.037320E-2,2.937899E-2
3.458661E0,1.181112E-1,3.578481E-2
3.491917E0,1.412433E-1,4.297505E-2
3.525174E0,1.599649E-1,5.004591E-2
3.558430E0,1.739111E-1,5.631386E-2
3.591687E0,1.833187E-1,6.084297E-2
3.624943E0,1.879662E-1,6.325360E-2
3.658199E0,1.875147E-1,6.285399E-2
3.691456E0,1.819497E-1,6.011659E-2
3.724712E0,1.717112E-1,5.499568E-2
3.757968E0,1.566554E-1,4.851585E-2
3.791225E0,1.368402E-1,4.085534E-2
3.824481E0,1.121361E-1,3.368589E-2
3.857737E0,8.391210E-2,2.786801E-2
3.890994E0,5.935035E-2,2.502321E-2
3.924250E0,3.080218E-2,2.377906E-2
3.957506E0,1.107479E-3,2.466219E-2
3.990763E0,-2.977549E-2,2.837848E-2
4.024019E0,-5.635054E-2,3.447147E-2
4.057276E0,-7.955455E-2,4.148479E-2
4.090532E0,-9.869559E-2,4.829436E-2
4.123788E0,-1.134744E-1,5.501044E-2
4.157045E0,-1.240344E-1,5.983301E-2
4.190301E0,-1.293643E-1,6.258413E-2
4.223557E0,-1.298916E-1,6.296921E-2
4.256814E0,-1.258558E-1,6.077294E-2
4.290070E0,-1.171722E-1,5.637307E-2
4.323326E0,-1.039451E-1,5.027693E-2
4.356583E0,-8.606890E-2,4.313826E-2
4.389839E0,-6.404357E-2,3.650705E-2
4.423095E0,-3.863006E-2,3.035893E-2
4.456352E0,-1.021575E-2,2.566664E-2
4.489608E0,1.993622E-2,2.348994E-2
4.522865E0,4.924710E-2,2.383502E-2
4.556121E0,7.539762E-2,2.656483E-2
4.589377E0,1.046540E-1,3.232514E-2
4.622634E0,1.289047E-1,3.885944E-2
4.655890E0,1.491239E-1,4.634294E-2
4.689146E0,1.654620E-1,5.293459E-2
4.722403E0,1.769895E-1,5.830035E-2
4.755659E0,1.838076E-1,6.182027E-2
4.788915E0,1.858671E-1,6.301495E-2
4.822172E0,1.828387E-1,6.144558E-2
4.855428E0,1.749696E-1,5.754631E-2
4.888684E0,1.625116E-1,5.170809E-2
4.921941E0,1.456529E-1,4.489293E-2
4.955197E0,1.240114E-1,3.742794E-2
4.988454E0,9.963509E-2,3.078354E-2
5.021710E0,6.830976E-2,2.474715E-2
5.054966E0,4.471161E-2,2.324872E-2
5.088223E0,1.551502E-2,2.359065E-2
5.121479E0,-1.423389E-2,2.680658E-2
5.154735E0,-4.239760E-2,3.138707E-2
5.187992E0,-6.736503E-2,3.762493E-2
5.221248E0,-8.834660E-2,4.414420E-2
5.254504E0,-1.053628E-1,5.047591E-2
5.287761E0,-1.164930E-1,5.549301E-2
5.321017E0,-1.249611E-1,5.909990E-2
5.354273E0,-1.280783E-1,6.121508E-2
5.387530E0,-1.272749E-1,6.131923E-2
5.420786E0,-1.222543E-1,5.788476E-2
5.454043E0,-1.119796E-1,5.354534E-2
5.487299E0,-9.811274E-2,4.528048E-2
5.520555E0,-7.975485E-2,4.027712E-2
5.553812E0,-5.710749E-2,3.397603E-2
5.587068E0,-3.122554E-2,2.988760E-2
5.620324E0,-9.717236E-4,2.542225E-2
5.653581E0,2.632780E-2,2.417742E-2
5.686837E0,5.560891E-2,2.531666E-2
5.720093E0,8.432196E-2,2.724049E-2
