t,x,y   
4.664662E-1,2.027726E-1,9.590732E-2
4.997852E-1,2.027726E-1,9.590732E-2
5.331042E-1,1.966371E-1,8.984207E-2
5.664232E-1,1.867048E-1,8.078209E-2
5.997422E-1,1.728372E-1,6.936172E-2
6.330612E-1,1.547258E-1,5.649592E-2
6.663803E-1,1.334381E-1,4.440691E-2
6.996993E-1,1.061386E-1,3.186956E-2
7.330183E-1,7.672287E-2,2.119066E-2
7.663373E-1,4.466659E-2,1.431606E-2
7.996563E-1,1.113225E-2,1.060743E-2
8.329753E-1,-2.416566E-2,1.158207E-2
8.662943E-1,-5.801977E-2,1.648404E-2
8.996134E-1,-9.070145E-2,2.496161E-2
9.329324E-1,-1.189281E-1,3.578764E-2
9.662514E-1,-1.437268E-1,4.889809E-2
9.995704E-1,-1.631120E-1,6.147910E-2
1.032889E0,-1.773478E-1,7.253895E-2
1.066208E0,-1.875877E-1,8.159470E-2
1.099527E0,-1.981376E-1,9.128312E-2
1.132846E0,-2.016839E-1,9.494100E-2
1.166165E0,-2.019383E-1,9.480967E-2
1.199484E0,-1.983768E-1,9.136888E-2
1.232803E0,-1.923475E-1,8.524376E-2
1.266122E0,-1.816233E-1,7.572037E-2
1.299442E0,-1.671720E-1,6.395652E-2
1.332761E0,-1.484705E-1,5.180201E-2
1.366080E0,-1.273783E-1,4.089607E-2
1.399399E0,-1.005382E-1,2.899839E-2
1.432718E0,-7.209354E-2,1.969576E-2
1.466037E0,-4.237340E-2,1.349503E-2
1.499356E0,-8.668940E-3,1.100988E-2
1.532675E0,2.431989E-2,1.227563E-2
1.565994E0,5.691883E-2,1.685006E-2
1.599313E0,8.691442E-2,2.518714E-2
1.632632E0,1.142569E-1,3.562121E-2
1.665951E0,1.367832E-1,4.607611E-2
1.699270E0,1.579260E-1,5.916594E-2
1.732589E0,1.734494E-1,7.058217E-2
1.765908E0,1.851484E-1,8.004460E-2
1.799227E0,1.934440E-1,8.727317E-2
1.832546E0,1.981878E-1,9.191756E-2
1.865865E0,1.993922E-1,9.295629E-2
1.899184E0,1.970269E-1,9.083889E-2
1.932503E0,1.919133E-1,8.554714E-2
1.965822E0,1.828385E-1,7.748386E-2
1.999141E0,1.704499E-1,6.730832E-2
2.032460E0,1.534320E-1,5.562137E-2
2.065779E0,1.331566E-1,4.419189E-2
2.099098E0,1.075180E-1,3.216670E-2
2.132417E0,7.919603E-2,2.261361E-2
2.165736E0,4.803072E-2,1.526402E-2
2.199055E0,1.276618E-2,1.087704E-2
2.232374E0,-1.854897E-2,1.090351E-2
2.265693E0,-5.070718E-2,1.441169E-2
2.299012E0,-8.287571E-2,2.234139E-2
2.332331E0,-1.111038E-1,3.248668E-2
2.365650E0,-1.359959E-1,4.230516E-2
2.398969E0,-1.572427E-1,5.526943E-2
2.432288E0,-1.724332E-1,6.682486E-2
2.465607E0,-1.840598E-1,7.663055E-2
2.498926E0,-1.935180E-1,8.482784E-2
2.532245E0,-1.969918E-1,8.849614E-2
2.565564E0,-1.983196E-1,8.954761E-2
