t,x,y
0.000000E0,4.363537E-1,2.360616E-1
3.331906E-2,4.364161E-1,2.368390E-1
6.663811E-2,4.306986E-1,2.303145E-1
9.995717E-2,4.151435E-1,2.154619E-1
1.332762E-1,3.917550E-1,1.952357E-1
1.665953E-1,3.590913E-1,1.699532E-1
1.999143E-1,3.160987E-1,1.421133E-1
2.332334E-1,2.647313E-1,1.148041E-1
2.665524E-1,2.108164E-1,9.173156E-2
2.998715E-1,1.447320E-1,7.193979E-2
3.331906E-1,7.841533E-2,5.962365E-2
3.665096E-1,5.093005E-3,5.450241E-2
3.998287E-1,-6.969500E-2,5.779835E-2
4.331477E-1,-1.399421E-1,6.876532E-2
4.664668E-1,-2.069820E-1,8.673354E-2
4.997858E-1,-2.671029E-1,1.098380E-1
5.331049E-1,-3.171042E-1,1.358531E-1
5.664239E-1,-3.623145E-1,1.639327E-1
5.997430E-1,-3.977818E-1,1.896802E-1
6.330621E-1,-4.217006E-1,2.095403E-1
6.663811E-1,-4.381890E-1,2.256653E-1
6.997002E-1,-4.461793E-1,2.331447E-1
7.330192E-1,-4.462252E-1,2.330952E-1
7.663383E-1,-4.409806E-1,2.277800E-1
7.996573E-1,-4.244188E-1,2.126324E-1
8.329764E-1,-4.042025E-1,1.946977E-1
8.662954E-1,-3.712742E-1,1.693531E-1
8.996145E-1,-3.319271E-1,1.434466E-1
9.329336E-1,-2.852490E-1,1.177605E-1
9.662526E-1,-2.318599E-1,9.447174E-2
9.995717E-1,-1.686546E-1,7.399648E-2
1.032891E0,-1.055717E-1,6.043581E-2
1.066210E0,-3.299382E-2,5.299770E-2
1.099529E0,3.506994E-2,5.429419E-2
1.132848E0,1.045341E-1,6.234637E-2
1.166167E0,1.701975E-1,7.727219E-2
1.199486E0,2.293903E-1,9.705338E-2
1.232805E0,2.830147E-1,1.215134E-1
1.266124E0,3.264053E-1,1.469627E-1
1.299443E0,3.638094E-1,1.723666E-1
1.332762E0,3.947162E-1,1.947956E-1
1.366081E0,4.150121E-1,2.126924E-1
1.399400E0,4.283726E-1,2.249744E-1
1.432719E0,4.334125E-1,2.298749E-1
1.466038E0,4.307271E-1,2.279943E-1
1.499358E0,4.201980E-1,2.180936E-1
1.532677E0,4.028164E-1,2.022024E-1
1.565996E0,3.772829E-1,1.819576E-1
1.599315E0,3.417278E-1,1.568929E-1
1.632634E0,2.998835E-1,1.321695E-1
1.665953E0,2.492057E-1,1.068883E-1
1.699272E0,1.903504E-1,8.452345E-2
1.732591E0,1.246521E-1,6.697370E-2
1.765910E0,5.600066E-2,5.683188E-2
1.799229E0,-1.505147E-2,5.462446E-2
1.832548E0,-8.873445E-2,6.042394E-2
1.865867E0,-1.574761E-1,7.355564E-2
1.899186E0,-2.241082E-1,9.406690E-2
1.932505E0,-2.788783E-1,1.175173E-1
1.965824E0,-3.274968E-1,1.429828E-1
1.999143E0,-3.674541E-1,1.692765E-1
2.032462E0,-3.982056E-1,1.919571E-1
2.065781E0,-4.190825E-1,2.093530E-1
2.099101E0,-4.331850E-1,2.230477E-1
2.132420E0,-4.337068E-1,2.226888E-1
2.165739E0,-4.385589E-1,2.276428E-1
2.199058E0,-4.286054E-1,2.178482E-1
2.232377E0,-4.113822E-1,2.019704E-1
2.265696E0,-3.858348E-1,1.816081E-1
2.299015E0,-3.530894E-1,1.584476E-1
2.332334E0,-3.117688E-1,1.333643E-1
2.365653E0,-2.644450E-1,1.094344E-1
2.398972E0,-2.104895E-1,8.911745E-2
2.432291E0,-1.470868E-1,7.098813E-2
2.465610E0,-8.378075E-2,6.012580E-2
2.498929E0,-1.399305E-2,5.538036E-2
2.532248E0,5.593707E-2,5.771289E-2
2.565567E0,1.226600E-1,6.732826E-2
2.598886E0,1.879035E-1,8.418031E-2
2.632205E0,2.431689E-1,1.044797E-1
2.665524E0,2.941382E-1,1.291283E-1
2.698843E0,3.330470E-1,1.524227E-1
2.732163E0,3.667446E-1,1.751345E-1
2.765482E0,3.923834E-1,1.948056E-1
2.798801E0,4.104076E-1,2.100003E-1
2.832120E0,4.181236E-1,2.178402E-1
2.865439E0,4.207760E-1,2.201253E-1
2.898758E0,4.152874E-1,2.154387E-1
2.932077E0,4.025930E-1,2.039709E-1
2.965396E0,3.808723E-1,1.863421E-1
2.998715E0,3.530618E-1,1.654528E-1
3.032034E0,3.141862E-1,1.411566E-1
3.065353E0,2.682987E-1,1.161849E-1
3.098672E0,2.146852E-1,9.302725E-2
3.131991E0,1.513747E-1,7.350045E-2
3.165310E0,8.630801E-2,6.038155E-2
3.198629E0,1.747293E-2,5.375957E-2
3.231948E0,-5.094065E-2,5.439890E-2
3.265267E0,-1.222897E-1,6.405451E-2
3.298587E0,-1.878322E-1,8.027117E-2
3.331906E0,-2.476091E-1,1.010232E-1
3.365225E0,-2.982078E-1,1.240547E-1
3.398544E0,-3.436836E-1,1.498624E-1
3.431863E0,-3.745355E-1,1.701780E-1
3.465182E0,-3.993895E-1,1.898293E-1
3.498501E0,-4.200671E-1,2.070215E-1
3.531820E0,-4.296955E-1,2.165842E-1
3.565139E0,-4.325333E-1,2.188053E-1
3.598458E0,-4.271797E-1,2.142038E-1
3.631777E0,-4.152160E-1,2.031376E-1
3.665096E0,-3.966774E-1,1.883752E-1
3.698415E0,-3.690905E-1,1.677118E-1
3.731734E0,-3.336334E-1,1.446176E-1
3.765053E0,-2.877115E-1,1.191687E-1
3.798372E0,-2.350115E-1,9.576549E-2
3.831691E0,-1.810501E-1,7.767935E-2
3.865010E0,-1.210730E-1,6.414588E-2
3.898330E0,-5.480624E-2,5.619503E-2
3.931649E0,1.247908E-2,5.554103E-2
3.964968E0,8.054030E-2,6.093521E-2
3.998287E0,1.451746E-1,7.316227E-2
4.031606E0,2.052438E-1,9.059009E-2
4.064925E0,2.588369E-1,1.126194E-1
4.098244E0,3.027750E-1,1.357016E-1
4.131563E0,3.401920E-1,1.582966E-1
4.164882E0,3.685751E-1,1.784475E-1
4.198201E0,3.911719E-1,1.959448E-1
4.231520E0,4.057655E-1,2.083771E-1
4.264839E0,4.112192E-1,2.138857E-1
4.298158E0,4.115064E-1,2.137024E-1
4.331477E0,4.034442E-1,2.064908E-1
4.364796E0,3.883858E-1,1.934776E-1
4.398115E0,3.652772E-1,1.758569E-1
4.431434E0,3.325985E-1,1.531443E-1
4.464753E0,2.939766E-1,1.305678E-1
4.498073E0,2.478482E-1,1.081172E-1
4.531392E0,1.899952E-1,8.551093E-2
4.564711E0,1.330784E-1,7.066071E-2
4.598030E0,6.213293E-2,5.847095E-2
4.631349E0,-6.100801E-3,5.489698E-2
4.664668E0,-7.245395E-2,5.832057E-2
4.697987E0,-1.374198E-1,6.849708E-2
4.731306E0,-1.987548E-1,8.448444E-2
4.764625E0,-2.533904E-1,1.048640E-1
4.797944E0,-3.025932E-1,1.276665E-1
4.831263E0,-3.421517E-1,1.512124E-1
4.864582E0,-3.756229E-1,1.739219E-1
4.897901E0,-3.988777E-1,1.915780E-1
4.931220E0,-4.137367E-1,2.046735E-1
4.964539E0,-4.189823E-1,2.095738E-1
4.997858E0,-4.189117E-1,2.094347E-1
5.031177E0,-4.106383E-1,2.024579E-1
5.064496E0,-3.953063E-1,1.897150E-1
5.097816E0,-3.723991E-1,1.719381E-1
5.131135E0,-3.425407E-1,1.509800E-1
5.164454E0,-3.040221E-1,1.281913E-1
5.197773E0,-2.563528E-1,1.048844E-1
5.231092E0,-2.081470E-1,8.663650E-2
5.264411E0,-1.426216E-1,6.859818E-2
5.297730E0,-8.104106E-2,5.806888E-2
5.331049E0,-1.555571E-2,5.322320E-2
5.364368E0,5.039459E-2,5.616597E-2
5.397687E0,1.165296E-1,6.550319E-2
5.431006E0,1.777615E-1,8.064220E-2
5.464325E0,2.346169E-1,1.002233E-1
5.497644E0,2.828625E-1,1.228051E-1
5.530963E0,3.232692E-1,1.455976E-1
