t,x,y
3.333624E-2,2.830281E-1,1.124072E-1
6.667248E-2,2.702131E-1,9.774972E-2
1.000087E-1,2.566892E-1,7.127957E-2
1.333450E-1,2.313205E-1,4.290791E-2
1.666812E-1,1.979651E-1,1.198343E-2
2.000174E-1,1.536158E-1,-1.554333E-2
2.333537E-1,1.023769E-1,-3.707982E-2
2.666899E-1,4.233199E-2,-5.433311E-2
3.000262E-1,-1.272206E-2,-5.447715E-2
3.333624E-1,-7.214326E-2,-4.455355E-2
3.666987E-1,-1.160872E-1,-3.634125E-2
4.000349E-1,-1.677083E-1,-1.158517E-2
4.333711E-1,-2.156560E-1,2.485838E-2
4.667074E-1,-2.422753E-1,4.845703E-2
5.000436E-1,-2.609299E-1,7.227857E-2
5.333799E-1,-2.754216E-1,9.232856E-2
5.667161E-1,-2.821134E-1,1.061254E-1
6.000523E-1,-2.843780E-1,1.101001E-1
6.333886E-1,-2.817442E-1,1.070829E-1
6.667248E-1,-2.750683E-1,9.451458E-2
7.000611E-1,-2.606637E-1,7.473492E-2
7.333973E-1,-2.423172E-1,5.051108E-2
7.667336E-1,-2.123565E-1,1.967033E-2
8.000698E-1,-1.742530E-1,-5.288078E-3
8.334060E-1,-1.233254E-1,-2.908158E-2
8.667423E-1,-6.789994E-2,-4.820027E-2
9.000785E-1,-1.265131E-2,-5.814624E-2
9.334148E-1,4.598339E-2,-5.334508E-2
9.667510E-1,1.025890E-1,-3.848931E-2
1.000087E0,1.498980E-1,-1.738951E-2
1.033423E0,1.916150E-1,8.190524E-3
1.066760E0,2.241238E-1,3.542822E-2
1.100096E0,2.552876E-1,6.785675E-2
1.133432E0,2.685835E-1,8.523475E-2
1.166768E0,2.794004E-1,1.014986E-1
1.200105E0,2.832934E-1,1.081562E-1
1.233441E0,2.820917E-1,1.077784E-1
1.266777E0,2.759046E-1,9.736154E-2
1.300113E0,2.632341E-1,7.959515E-2
1.333450E0,2.447343E-1,5.541255E-2
1.366786E0,2.159922E-1,2.884811E-2
1.400122E0,1.770978E-1,-3.479456E-4
1.433458E0,1.289599E-1,-2.605180E-2
1.466795E0,7.064363E-2,-4.736386E-2
1.500131E0,1.661298E-2,-5.299384E-2
1.533467E0,-4.211017E-2,-5.320863E-2
1.566803E0,-9.376046E-2,-3.952282E-2
1.600140E0,-1.454638E-1,-2.308519E-2
1.633476E0,-1.844845E-1,1.855531E-3
1.666812E0,-2.208419E-1,3.143568E-2
1.700148E0,-2.441687E-1,5.251417E-2
1.733485E0,-2.622682E-1,7.399469E-2
1.766821E0,-2.740613E-1,9.165297E-2
1.800157E0,-2.795203E-1,1.003218E-1
1.833493E0,-2.795391E-1,1.015024E-1
1.866830E0,-2.755379E-1,9.368055E-2
1.900166E0,-2.648119E-1,7.899083E-2
1.933502E0,-2.487220E-1,5.735483E-2
1.966838E0,-2.236468E-1,3.413443E-2
2.000174E0,-1.909762E-1,5.400802E-3
2.033511E0,-1.510382E-1,-1.952223E-2
2.066847E0,-1.010456E-1,-4.241615E-2
2.100183E0,-4.396240E-2,-5.232673E-2
2.133519E0,1.668373E-2,-5.666293E-2
2.166856E0,7.064363E-2,-4.736386E-2
2.200192E0,1.226805E-1,-3.351380E-2
2.233528E0,1.676310E-1,-1.166371E-2
2.266864E0,2.042976E-1,1.669362E-2
2.300201E0,2.385702E-1,4.763578E-2
2.333537E0,2.599546E-1,7.122715E-2
2.366873E0,2.733695E-1,8.976495E-2
2.400209E0,2.802318E-1,1.001558E-1
2.433546E0,2.822880E-1,1.030314E-1
2.466882E0,2.782003E-1,9.710945E-2
2.500218E0,2.684144E-1,8.387714E-2
2.533554E0,2.519620E-1,6.288897E-2
2.566891E0,2.284061E-1,3.851326E-2
2.600227E0,1.934318E-1,9.143174E-3
2.633563E0,1.567949E-1,-1.316305E-2
2.666899E0,9.776779E-2,-3.858821E-2
2.700236E0,4.372283E-2,-5.076062E-2
2.733572E0,-4.093555E-6,-5.154007E-2
2.766908E0,-5.588469E-2,-5.040502E-2
2.800244E0,-1.216852E-1,-3.019183E-2
2.833581E0,-1.658915E-1,-1.063252E-2
2.866917E0,-1.949143E-1,7.277879E-3
2.900253E0,-2.301561E-1,3.859698E-2
2.933589E0,-2.550474E-1,6.527477E-2
2.966925E0,-2.657079E-1,8.105658E-2
3.000262E0,-2.739363E-1,9.237698E-2
3.033598E0,-2.757947E-1,9.654777E-2
3.066934E0,-2.737929E-1,9.236237E-2
3.100270E0,-2.654872E-1,8.103856E-2
3.133607E0,-2.547594E-1,6.548682E-2
3.166943E0,-2.300216E-1,3.935510E-2
3.200279E0,-2.003258E-1,1.439665E-2
3.233615E0,-1.649706E-1,-9.188589E-3
3.266952E0,-1.216698E-1,-3.118510E-2
3.300288E0,-7.086671E-2,-4.622112E-2
3.333624E0,-1.000562E-2,-5.258953E-2
3.366960E0,5.148703E-2,-5.323895E-2
3.400297E0,1.044058E-1,-3.753666E-2
3.433633E0,1.431255E-1,-2.043273E-2
3.466969E0,1.830036E-1,1.045974E-3
3.500305E0,2.223600E-1,3.172375E-2
3.533642E0,2.522930E-1,6.355992E-2
3.566978E0,2.609537E-1,7.651345E-2
3.600314E0,2.702923E-1,8.974361E-2
3.633650E0,2.743031E-1,9.524453E-2
3.666987E0,2.723100E-1,9.176783E-2
3.700323E0,2.648416E-1,8.166598E-2
3.733659E0,2.503321E-1,6.364793E-2
3.766995E0,2.305621E-1,4.226109E-2
3.800332E0,1.997112E-1,1.660518E-2
3.833668E0,1.662937E-1,-7.158718E-3
3.867004E0,1.118006E-1,-3.327991E-2
3.900340E0,6.996052E-2,-4.525153E-2
3.933677E0,1.915409E-2,-5.301236E-2
3.967013E0,-3.736914E-2,-5.138006E-2
4.000349E0,-1.046621E-1,-3.953811E-2
4.033685E0,-1.445642E-1,-2.215023E-2
4.067021E0,-1.923528E-1,5.780574E-3
4.100358E0,-2.241377E-1,3.329223E-2
4.133694E0,-2.386239E-1,4.944506E-2
4.167030E0,-2.548929E-1,7.053228E-2
4.200366E0,-2.653034E-1,8.448361E-2
4.233703E0,-2.689949E-1,9.098299E-2
4.267039E0,-2.679499E-1,8.888155E-2
4.300375E0,-2.612240E-1,8.018817E-2
4.333711E0,-2.492478E-1,6.352320E-2
4.367048E0,-2.308409E-1,4.321664E-2
4.400384E0,-2.067998E-1,1.702464E-2
4.433720E0,-1.724040E-1,-6.424889E-3
4.467056E0,-1.279295E-1,-2.825275E-2
4.500393E0,-7.895864E-2,-4.445041E-2
4.533729E0,-2.916222E-2,-5.846463E-2
4.567065E0,2.861950E-2,-5.862155E-2
4.600401E0,8.346776E-2,-4.619895E-2
4.633738E0,1.327092E-1,-2.832262E-2
4.667074E0,1.752986E-1,-2.217868E-3
4.700410E0,2.122005E-1,2.349981E-2
4.733746E0,2.422557E-1,5.310342E-2
4.767083E0,2.606929E-1,7.129649E-2
4.800419E0,2.636171E-1,8.115288E-2
4.833755E0,2.689331E-1,8.899231E-2
4.867091E0,2.685058E-1,8.715240E-2
4.900428E0,2.625377E-1,7.880335E-2
4.933764E0,2.491984E-1,6.317015E-2
4.967100E0,2.313629E-1,4.375493E-2
5.000436E0,2.018927E-1,1.438114E-2
5.033772E0,1.644883E-1,-1.111841E-2
5.067109E0,1.160861E-1,-3.318617E-2
5.100445E0,6.311622E-2,-4.513921E-2
5.133781E0,1.228972E-2,-5.486460E-2
5.167117E0,-4.087682E-2,-5.661862E-2
5.200454E0,-8.816838E-2,-4.400305E-2
5.233790E0,-1.343504E-1,-2.837657E-2
5.267126E0,-1.714063E-1,-9.673607E-3
5.300462E0,-2.016776E-1,1.190425E-2
5.333799E0,-2.428662E-1,5.153491E-2
5.367135E0,-2.489615E-1,6.209230E-2
5.400471E0,-2.609245E-1,7.674194E-2
5.433807E0,-2.663701E-1,8.465434E-2
5.467144E0,-2.662933E-1,8.383334E-2
5.500480E0,-2.597983E-1,7.630348E-2
5.533816E0,-2.487243E-1,6.120401E-2
5.567152E0,-2.312323E-1,4.287548E-2
5.600489E0,-2.068352E-1,1.885919E-2
5.633825E0,-1.696136E-1,-7.951454E-3
5.667161E0,-1.324628E-1,-3.109301E-2
5.700497E0,-7.977142E-2,-5.118204E-2
5.733834E0,-2.648116E-2,-5.474247E-2
5.767170E0,2.760256E-2,-5.186431E-2
5.800506E0,8.068056E-2,-4.441747E-2
5.833842E0,1.281134E-1,-2.973858E-2
5.867179E0,1.617975E-1,-1.234614E-2
5.900515E0,1.960903E-1,1.067595E-2
5.933851E0,2.399532E-1,5.036887E-2
5.967187E0,2.484303E-1,5.975490E-2
6.000523E0,2.595537E-1,7.433927E-2
6.033860E0,2.656100E-1,8.334482E-2
6.067196E0,2.655527E-1,8.308408E-2
6.100532E0,2.605158E-1,7.541793E-2
6.133868E0,2.484992E-1,6.068597E-2
6.167205E0,2.305894E-1,4.244949E-2
6.200541E0,2.042622E-1,1.852816E-2
6.233877E0,1.720853E-1,-4.110126E-3
6.267213E0,1.289953E-1,-2.788634E-2
6.300550E0,8.467222E-2,-4.373479E-2
6.333886E0,2.000553E-2,-5.333515E-2
6.367222E0,-3.196710E-2,-5.576588E-2
6.400558E0,-8.075944E-2,-4.753064E-2
6.433895E0,-1.214806E-1,-3.317794E-2
6.467231E0,-1.626943E-1,-1.082844E-2
6.500567E0,-2.073058E-1,1.931293E-2
6.533903E0,-2.337534E-1,4.498665E-2
6.567240E0,-2.451863E-1,5.665942E-2
6.600576E0,-2.570001E-1,7.113908E-2
6.633912E0,-2.626397E-1,7.988702E-2
6.667248E0,-2.636458E-1,7.991307E-2
