Motion Through Fluids Experiment Mon, Sep 23, 2024 8:27 PM
Time(sec)	Position(mm)
0.030	192.208
0.080	192.208
0.130	192.208
0.180	192.405
0.230	192.405
0.280	192.405
0.330	192.602
0.380	192.602
0.430	192.799
0.480	192.799
0.530	192.799
0.580	192.996
0.630	192.996
0.680	192.996
0.730	193.193
0.780	193.193
0.830	193.193
0.880	193.390
0.930	193.390
0.980	193.390
1.030	193.588
1.080	193.588
1.130	193.785
1.180	193.785
1.230	193.785
1.280	193.982
1.330	193.982
1.380	193.982
1.430	194.179
1.480	194.179
1.530	194.179
1.580	194.376
1.630	194.376
1.680	194.376
1.730	194.573
1.780	194.573
1.830	194.573
1.880	194.770
1.931	194.770
1.980	194.967
2.030	194.967
2.080	194.967
2.130	195.164
2.180	195.164
2.230	195.164
2.280	195.361
2.330	195.361
2.380	195.361
2.430	195.559
2.480	195.559
2.530	195.559
2.580	195.756
2.630	195.756
2.680	195.953
2.730	195.953
2.780	195.953
2.830	196.150
2.880	196.150
2.930	196.150
2.980	196.347
3.030	196.347
3.080	196.347
3.130	196.544
3.180	196.544
3.230	196.544
3.280	196.742
3.330	196.742
3.380	196.742
3.430	196.939
3.480	196.939
3.530	197.136
3.580	197.136
3.630	197.136
3.680	197.333
3.730	197.333
3.780	197.333
3.830	197.530
3.880	197.530
3.930	197.530
3.980	197.728
4.030	197.728
4.080	197.728
4.131	197.925
4.180	197.925
4.230	197.925
4.280	198.122
4.330	198.122
4.380	198.319
4.430	198.319
4.480	198.319
4.530	198.516
4.580	198.516
4.630	198.516
4.680	198.714
4.730	198.714
4.780	198.714
4.830	198.911
4.880	198.911
4.930	198.911
4.980	199.108
5.030	199.108
5.080	199.108
5.130	199.306
5.180	199.306
5.230	199.306
5.280	199.503
5.330	199.503
5.380	199.503
5.430	199.700
5.480	199.700
5.530	199.897
5.580	199.897
5.630	199.897
5.680	200.095
5.730	200.095
5.780	200.095
5.830	200.292
5.880	200.292
5.930	200.292
5.980	200.489
6.030	200.489
6.080	200.489
6.130	200.687
6.180	200.687
6.230	200.687
6.280	200.884
6.330	200.884
6.380	200.884
6.430	201.082
6.480	201.082
6.530	201.279
6.580	201.279
6.630	201.279
6.680	201.476
6.730	201.476
6.780	201.476
6.830	201.674
6.880	201.674
6.930	201.674
6.980	201.871
7.030	201.871
7.080	201.871
7.130	202.068
7.180	202.068
7.230	202.068
7.280	202.266
7.330	202.266
7.380	202.266
7.430	202.463
7.480	202.463
7.530	202.661
7.580	202.661
7.630	202.661
7.680	202.858
7.730	202.858
7.780	202.858
7.830	203.056
7.880	203.056
7.930	203.056
7.980	203.253
8.030	203.253
8.080	203.253
8.130	203.451
8.180	203.451
8.230	203.451
8.280	203.648
8.330	203.648
8.380	203.648
8.430	203.846
8.480	203.846
8.530	203.846
8.580	204.043
8.630	204.043
8.680	204.043
8.730	204.241
8.780	204.241
8.830	204.241
8.880	204.438
8.930	204.438
8.980	204.438
9.030	204.636
9.080	204.636
9.130	204.636
9.180	204.833
9.230	204.833
9.280	205.031
9.330	205.031
9.381	205.031
9.430	205.228
9.480	205.228
9.530	205.228
9.580	205.426
9.630	205.426
9.680	205.426
9.730	205.623
9.780	205.623
9.830	205.623
9.880	205.821
9.930	205.821
9.980	205.821
10.030	206.019
10.080	206.019
10.130	206.019
10.180	206.216
10.230	206.216
10.280	206.216
10.330	206.414
10.380	206.414
10.430	206.414
10.480	206.612
10.530	206.612
10.580	206.612
10.630	206.809
10.680	206.809
10.730	206.809
10.780	207.007
10.830	207.007
10.880	207.007
10.930	207.204
10.980	207.204
11.030	207.204
11.080	207.402
11.130	207.402
11.180	207.402
11.230	207.600
11.280	207.600
11.330	207.600
11.380	207.798
11.430	207.798
11.480	207.798
11.530	207.995
11.580	207.995
11.630	207.995
11.680	208.193
11.730	208.193
11.780	208.193
11.830	208.391
11.880	208.391
11.930	208.588
11.980	208.588
12.030	208.588
12.080	208.786
12.130	208.786
12.180	208.786
12.230	208.984
12.280	208.984
12.330	208.984
