Motion Through Fluids Experiment Mon, Sep 23, 2024 8:25 PM
Time(sec)	Position(mm)
0.025	0.000
0.074	0.000
0.124	0.000
0.174	0.000
0.224	0.000
0.274	0.000
0.325	0.000
0.374	0.000
0.424	0.000
0.474	0.000
0.524	0.000
0.574	0.000
0.624	0.000
0.674	0.000
0.724	0.000
0.774	1.617
0.824	1.180
0.874	0.000
0.924	3.124
0.974	3.769
1.024	5.065
1.074	6.141
1.124	7.433
1.174	8.076
1.224	9.148
1.274	9.577
1.324	10.646
1.375	11.506
1.424	11.717
1.474	12.359
1.524	12.788
1.574	13.213
1.624	13.853
1.674	14.066
1.724	14.705
1.774	14.705
1.824	15.131
1.874	15.557
1.924	15.770
1.974	16.194
2.024	16.406
2.074	16.833
2.124	17.046
2.174	17.260
2.224	17.471
2.274	17.683
2.324	18.108
2.374	18.320
2.424	18.320
2.474	18.744
2.524	18.957
2.574	19.167
2.624	19.381
2.674	19.593
2.724	19.803
2.774	20.014
2.824	20.226
2.874	20.440
2.924	20.652
2.974	20.652
3.024	21.073
3.074	21.285
3.124	21.286
3.174	21.498
3.224	21.709
3.274	21.921
3.324	22.132
3.374	22.344
3.424	22.555
3.474	22.555
3.524	22.766
3.574	22.975
3.624	23.188
3.674	23.398
3.724	23.611
3.774	23.611
3.824	23.822
3.874	24.033
3.924	24.243
3.974	24.454
4.024	24.454
4.074	24.665
4.124	24.665
4.174	24.876
4.224	25.087
4.274	25.089
4.324	25.299
4.374	25.508
4.424	25.719
4.474	25.931
4.524	25.929
4.574	26.140
4.624	26.350
4.674	26.350
4.724	26.561
4.774	26.561
4.824	26.771
4.874	26.981
4.924	27.192
4.974	27.192
5.024	27.402
5.074	27.612
5.124	27.822
5.174	27.822
5.224	28.032
5.274	28.242
5.324	28.242
5.374	28.452
5.424	28.662
5.474	28.874
5.524	28.872
5.574	29.082
5.624	29.292
5.674	29.294
5.724	29.502
5.774	29.712
5.824	29.712
5.874	29.921
5.924	29.921
5.974	30.131
6.024	30.341
6.074	30.341
6.124	30.550
6.174	30.760
6.224	30.760
6.274	30.969
6.324	31.179
6.374	31.388
6.424	31.388
6.474	31.599
6.524	31.807
6.574	32.016
6.624	32.016
6.674	32.225
6.724	32.225
6.774	32.435
6.824	32.644
6.874	32.853
6.924	32.853
6.974	33.062
7.024	33.062
7.074	33.271
7.124	33.271
7.174	33.480
7.224	33.689
7.274	33.689
7.324	33.898
7.374	34.107
7.424	34.107
7.474	34.315
7.524	34.524
7.574	34.524
7.624	34.733
7.674	34.733
7.724	34.942
7.774	35.150
7.824	35.359
7.874	35.359
7.924	35.568
7.974	35.776
8.024	35.776
8.074	35.985
8.124	36.193
8.174	36.193
8.224	36.402
8.274	36.402
8.324	36.610
8.374	36.610
8.424	36.818
8.474	37.027
8.524	37.027
8.574	37.235
8.624	37.443
8.674	37.443
8.724	37.651
8.774	37.859
8.824	37.859
8.874	38.067
8.924	38.276
8.974	38.276
9.024	38.484
9.074	38.692
9.124	38.690
9.174	38.899
9.224	39.107
9.274	39.107
9.324	39.107
9.374	39.313
9.424	39.523
9.474	39.523
9.524	39.731
9.574	39.939
9.624	39.939
9.674	40.146
9.724	40.354
9.774	40.354
9.824	40.562
9.874	40.562
9.924	40.769
9.974	40.977
10.024	40.977
10.074	41.184
10.124	41.184
10.174	41.392
10.224	41.599
10.274	41.597
10.324	41.807
10.374	41.807
10.424	42.014
10.474	42.014
10.524	42.221
10.574	42.429
10.624	42.429
10.674	42.636
10.724	42.636
10.774	42.843
10.824	42.843
10.874	43.050
10.924	43.257
10.974	43.257
11.024	43.464
11.074	43.464
11.124	43.671
11.174	43.878
11.224	43.878
11.274	44.085
11.324	44.085
11.374	44.292
11.424	44.499
11.474	44.499
11.524	44.706
11.574	44.706
11.624	44.913
11.674	45.120
11.724	45.120
11.774	45.327
11.824	45.327
11.874	45.533
11.924	45.740
11.974	45.740
12.024	45.947
12.074	45.947
12.124	46.153
12.174	46.360
12.224	46.360
12.274	46.566
12.324	46.566
12.374	46.773
12.424	46.979
12.474	46.979
12.524	47.186
12.574	47.186
12.624	47.392
12.674	47.392
12.724	47.599
12.774	47.805
12.824	47.805
12.874	48.011
12.924	48.217
12.974	48.217
13.024	48.424
13.074	48.424
13.124	48.630
13.174	48.630
13.224	48.836
13.274	49.042
13.324	49.042
13.374	49.248
13.424	49.248
13.474	49.454
13.524	49.454
13.574	49.660
13.624	49.866
13.674	49.866
13.724	50.072
13.774	50.072
13.824	50.278
13.874	50.278
13.924	50.484
13.974	50.690
14.024	50.690
14.074	50.896
14.124	50.896
14.174	51.101
14.224	51.101
14.274	51.307
14.324	51.307
14.374	51.513
14.424	51.719
14.474	51.719
14.524	51.924
14.574	51.924
14.624	52.130
14.674	52.130
14.724	52.335
14.774	52.541
14.824	52.541
14.874	52.746
14.924	52.746
14.974	52.952
15.024	52.952
15.074	53.157
15.124	53.363
15.174	53.363
15.224	53.568
15.274	53.568
15.324	53.773
15.374	53.773
15.424	53.979
15.474	53.979
15.524	54.182
15.574	54.389
15.624	54.387
15.674	54.594
15.724	54.593
15.774	54.798
15.824	54.799
15.874	55.005
15.924	55.210
15.974	55.210
16.024	55.415
16.074	55.413
16.124	55.618
16.174	55.620
16.224	55.823
16.274	55.825
16.324	56.030
16.374	56.235
16.424	56.235
16.474	56.440
16.524	56.440
16.574	56.644
16.624	56.644
16.674	56.849
16.724	57.054
16.774	57.054
16.824	57.259
16.874	57.259
16.924	57.464
16.974	57.464
17.024	57.668
17.074	57.668
17.124	57.873
17.174	58.078
17.224	58.078
17.274	58.078
17.324	58.282
17.374	58.487
17.424	58.487
17.474	58.691
17.524	58.691
17.574	58.896
17.624	58.896
17.674	59.100
17.724	59.100
17.774	59.305
17.824	59.305
17.874	59.509
17.924	59.714
17.974	59.714
18.024	59.918
18.074	59.918
18.124	60.122
18.174	60.122
18.224	60.327
18.274	60.327
18.324	60.531
18.374	60.735
18.424	60.735
18.474	60.939
18.524	60.939
18.574	61.144
18.624	61.144
18.674	61.348
18.724	61.348
18.774	61.552
18.824	61.552
18.874	61.756
18.924	61.756
18.974	61.960
19.024	62.164
19.074	62.164
19.124	62.368
19.174	62.368
19.224	62.572
19.274	62.572
19.324	62.776
19.374	62.776
19.424	62.980
19.474	62.980
19.524	63.182
19.574	63.387
19.624	63.386
19.674	63.591
19.724	63.591
19.774	63.795
19.824	63.795
19.874	63.999
19.924	63.997
19.974	64.202
20.024	64.202
20.074	64.406
20.124	64.406
20.174	64.608
20.224	64.813
20.274	64.813
20.324	65.017
20.374	65.017
20.424	65.221
20.474	65.221
20.524	65.424
20.574	65.424
20.624	65.628
20.674	65.628
20.724	65.831
20.774	65.831
20.824	66.035
20.874	66.035
20.924	66.238
20.974	66.238
21.024	66.442
21.074	66.442
21.124	66.643
21.174	66.645
21.224	66.848
21.274	67.052
21.324	67.052
21.374	67.255
21.424	67.255
21.474	67.458
21.524	67.458
21.574	67.661
21.624	67.661
21.674	67.865
21.724	67.865
21.774	68.068
21.824	68.068
21.874	68.271
21.924	68.271
21.974	68.474
22.024	68.474
22.074	68.677
22.124	68.880
22.174	68.880
22.224	69.083
22.274	69.083
22.324	69.286
22.374	69.286
22.424	69.489
22.474	69.489
22.524	69.692
22.574	69.692
22.624	69.895
22.674	69.895
22.724	70.098
22.774	70.098
22.824	70.301
22.874	70.301
22.924	70.504
22.974	70.504
23.024	70.706
23.074	70.909
23.124	70.909
23.174	71.112
23.224	71.112
23.274	71.315
23.324	71.315
23.374	71.517
23.424	71.517
23.474	71.720
23.524	71.720
23.574	71.923
23.624	71.923
23.674	72.125
23.724	72.125
23.774	72.328
23.824	72.328
23.874	72.531
23.924	72.531
23.974	72.733
24.024	72.733
24.074	72.936
24.124	72.936
24.174	73.138
24.224	73.138
24.274	73.341
24.324	73.341
24.374	73.543
24.424	73.543
24.474	73.745
24.524	73.745
24.574	73.948
24.624	73.948
24.674	74.150
24.724	74.353
24.774	74.353
24.824	74.555
24.874	74.555
24.924	74.757
24.974	74.757
25.024	74.959
25.074	74.959
25.124	75.162
25.174	75.162
25.224	75.364
25.274	75.364
25.324	75.566
25.375	75.566
25.424	75.768
25.474	75.768
25.524	75.970
25.574	75.970
25.624	76.172
25.674	76.172
25.724	76.374
25.774	76.374
25.824	76.576
25.874	76.576
25.924	76.779
25.974	76.779
26.024	76.981
26.074	76.981
26.124	77.182
26.174	77.182
26.224	77.384
26.274	77.384
26.324	77.586
26.374	77.586
26.424	77.788
26.474	77.788
26.524	77.990
26.574	77.990
26.624	78.192
26.674	78.192
26.724	78.394
26.774	78.394
26.824	78.596
26.874	78.797
26.924	78.797
26.974	78.797
27.024	78.999
27.074	78.999
27.124	79.201
27.174	79.201
27.224	79.403
27.274	79.403
