Motion Through Fluids Experiment Mon, Sep 23, 2024 8:43 PM
Time(sec)	Position(mm)
0.044	10.854
0.094	12.137
0.144	12.991
0.194	13.845
0.244	14.697
0.294	15.549
0.344	16.188
0.394	16.826
0.444	17.463
0.494	18.100
0.544	18.525
0.594	19.161
0.644	19.797
0.694	20.220
0.744	20.644
0.794	21.067
0.844	21.490
0.894	22.125
0.944	22.336
0.994	22.970
1.044	23.392
1.094	23.814
1.144	24.025
1.194	24.447
1.244	24.868
1.294	25.079
1.344	25.500
1.394	25.922
1.444	26.343
1.494	26.763
1.544	27.184
1.594	27.394
1.644	27.815
1.694	28.235
1.744	28.445
1.794	28.865
1.844	29.284
1.894	29.704
1.944	29.914
1.994	30.333
2.044	30.752
2.094	30.962
2.144	31.381
2.194	31.799
2.244	32.009
2.294	32.427
2.344	32.636
2.394	33.054
2.444	33.472
2.494	33.681
2.544	34.099
2.594	34.308
2.644	34.726
2.694	35.143
2.744	35.352
2.794	35.769
2.844	35.977
2.894	36.396
2.944	36.603
2.994	37.019
3.044	37.227
3.094	37.644
3.144	38.060
3.194	38.268
3.244	38.686
3.294	38.892
3.344	39.310
3.394	39.516
3.444	39.933
3.494	40.139
3.544	40.347
3.594	40.762
3.644	41.179
3.694	41.384
3.744	41.592
3.794	42.007
3.844	42.214
3.894	42.628
3.944	42.836
3.994	43.250
4.044	43.457
4.094	43.871
4.144	44.078
4.194	44.492
4.244	44.701
4.294	45.114
4.344	45.319
4.394	45.735
4.444	45.939
4.494	46.146
4.544	46.353
4.594	46.766
4.644	46.974
4.694	47.385
4.745	47.593
4.794	48.006
4.844	48.210
4.894	48.417
4.944	48.829
4.994	49.037
5.044	49.449
5.094	49.655
5.144	49.859
5.194	50.271
5.244	50.479
5.294	50.890
5.344	51.096
5.394	51.300
5.444	51.711
5.494	51.919
5.544	52.330
5.594	52.536
5.644	52.741
5.694	53.150
5.744	53.357
5.794	53.768
5.844	53.972
5.894	54.179
5.944	54.589
5.994	54.794
6.044	54.999
6.094	55.408
6.144	55.615
6.194	56.024
6.244	56.228
6.294	56.434
6.344	56.844
6.394	57.049
6.444	57.254
6.494	57.663
6.544	57.868
6.594	58.072
6.644	58.482
6.694	58.686
6.744	58.891
6.794	59.300
6.844	59.504
6.894	59.708
6.944	60.117
6.994	60.321
7.044	60.526
7.094	60.934
7.144	61.138
7.194	61.342
7.244	61.751
7.294	61.955
7.344	62.159
7.394	62.567
7.444	62.771
7.494	62.975
7.544	63.382
7.594	63.586
7.644	63.790
7.694	63.994
7.744	64.401
7.794	64.605
7.844	64.808
7.894	65.012
7.944	65.419
7.994	65.623
8.044	65.826
8.094	66.233
8.144	66.436
8.194	66.640
8.244	66.843
8.294	67.250
8.344	67.453
8.394	67.656
8.444	68.063
8.494	68.266
8.544	68.469
8.594	68.672
8.644	69.078
8.694	69.281
8.744	69.484
8.794	69.890
8.844	70.093
8.894	70.296
8.944	70.499
8.994	70.904
9.044	71.107
9.094	71.310
9.144	71.715
9.194	71.918
9.244	72.120
9.294	72.323
9.344	72.728
9.394	72.931
9.444	73.133
9.494	73.336
9.544	73.740
9.594	73.943
9.644	74.145
9.694	74.348
9.744	74.752
9.794	74.954
9.844	75.157
9.894	75.359
9.944	75.763
9.994	75.965
10.044	76.167
10.094	76.370
10.144	76.774
10.194	76.976
10.244	77.176
10.294	77.380
10.344	77.581
10.394	77.985
10.444	78.187
10.494	78.389
10.544	78.591
10.594	78.994
10.644	79.196
10.694	79.398
10.744	79.599
10.794	80.003
10.844	80.204
10.894	80.406
10.944	80.607
10.994	81.010
11.044	81.010
11.094	81.212
11.144	81.615
11.194	81.816
11.244	82.018
11.294	82.219
11.344	82.622
11.394	82.823
11.444	83.024
11.494	83.226
11.544	83.427
11.594	83.829
11.644	84.030
11.694	84.232
11.744	84.433
11.794	84.634
11.844	85.036
11.894	85.237
11.944	85.438
11.994	85.639
12.044	85.840
12.094	86.242
12.144	86.443
12.194	86.643
12.244	86.844
12.294	87.045
12.344	87.246
12.394	87.647
12.444	87.848
12.494	88.049
12.544	88.250
12.594	88.450
12.644	88.651
12.694	89.052
12.744	89.253
12.794	89.453
12.844	89.654
12.894	89.854
12.944	90.255
12.994	90.456
13.044	90.656
13.094	90.857
13.144	91.057
13.194	91.458
13.244	91.658
13.294	91.859
13.344	92.059
13.394	92.259
13.444	92.459
13.494	92.660
13.544	93.060
13.594	93.260
13.644	93.460
13.694	93.660
13.744	93.861
13.794	94.061
13.844	94.461
13.894	94.661
13.944	94.861
13.994	95.061
14.044	95.261
14.094	95.661
14.144	95.861
14.194	96.061
14.244	96.260
14.294	96.460
14.344	96.660
14.394	96.860
14.444	97.060
14.494	97.260
14.544	97.659
14.594	97.859
14.644	98.059
14.694	98.258
14.744	98.458
14.794	98.658
14.844	98.857
14.894	99.256
14.944	99.456
14.994	99.656
15.044	99.855
15.094	100.055
15.144	100.254
15.194	100.653
15.244	100.853
15.294	101.052
15.344	101.251
15.394	101.451
15.444	101.650
15.494	101.850
15.544	102.049
15.594	102.448
15.644	102.647
15.694	102.846
15.744	103.046
15.794	103.245
15.844	103.444
15.894	103.643
15.944	104.042
15.994	104.241
16.044	104.440
16.094	104.639
16.144	104.838
16.194	105.037
16.244	105.236
16.294	105.435
16.344	105.834
16.394	106.033
16.444	106.232
16.494	106.431
16.544	106.629
16.594	106.828
16.644	107.027
16.694	107.226
16.744	107.624
16.794	107.823
16.844	108.022
16.894	108.221
16.944	108.420
16.994	108.618
17.044	108.817
17.094	109.016
17.144	109.413
17.194	109.612
17.244	109.811
17.294	110.010
17.344	110.208
17.394	110.407
17.444	110.606
17.494	110.804
17.544	111.003
17.594	111.400
17.644	111.400
17.694	111.599
17.744	111.797
17.794	112.194
17.844	112.393
17.894	112.591
17.944	112.790
17.994	112.988
18.044	113.187
18.094	113.385
18.144	113.584
18.194	113.782
18.244	114.179
18.294	114.377
18.344	114.576
18.394	114.774
18.444	114.972
18.494	115.171
18.544	115.369
18.594	115.567
18.644	115.766
18.694	115.964
18.744	116.162
18.794	116.559
18.844	116.757
18.894	116.955
18.944	117.153
18.994	117.352
19.044	117.550
19.094	117.748
19.144	117.946
19.194	118.144
19.244	118.342
19.294	118.540
19.344	118.937
19.394	119.135
19.444	119.333
19.494	119.531
19.544	119.729
19.594	119.927
19.644	120.125
19.694	120.323
19.744	120.521
19.794	120.719
19.844	120.917
19.894	121.115
19.944	121.313
19.994	121.708
20.044	121.906
20.094	122.104
20.144	122.302
20.194	122.500
20.244	122.698
20.294	122.896
20.344	123.094
20.394	123.291
20.444	123.489
20.494	123.687
20.544	123.885
20.594	124.083
20.644	124.280
20.694	124.676
20.744	124.874
20.794	125.071
20.844	125.071
20.894	125.467
20.944	125.467
20.994	125.862
21.044	126.060
21.094	126.257
21.144	126.455
21.194	126.653
21.244	126.850
21.294	127.048
21.344	127.245
21.394	127.443
21.444	127.641
21.494	127.838
21.544	128.036
21.594	128.233
21.644	128.431
21.694	128.628
21.744	128.826
21.794	129.023
21.844	129.221
21.894	129.616
21.944	129.813
21.994	130.011
22.044	130.208
22.094	130.406
22.144	130.603
22.194	130.801
22.244	130.998
22.294	131.195
22.344	131.393
22.394	131.590
22.444	131.788
22.494	131.985
22.544	132.182
22.594	132.380
22.644	132.577
22.694	132.774
22.744	132.972
22.794	133.169
22.844	133.366
22.894	133.564
22.944	133.958
22.994	134.156
23.044	134.353
23.094	134.550
23.144	134.747
23.194	134.945
23.244	135.142
23.295	135.339
23.344	135.536
23.395	135.733
23.444	135.931
23.494	136.128
23.544	136.325
23.594	136.522
23.644	136.719
23.694	136.917
23.744	137.114
23.794	137.311
23.844	137.508
23.894	137.705
23.944	137.902
23.994	138.099
24.044	138.296
24.094	138.494
24.144	138.691
24.194	138.888
24.244	139.085
24.294	139.282
24.344	139.479
24.394	139.676
24.444	139.873
24.494	140.070
24.544	140.267
24.594	140.464
24.644	140.661
24.694	140.858
24.744	141.055
24.794	141.252
24.844	141.449
24.894	141.646
24.944	141.843
24.994	142.040
25.044	142.237
25.094	142.434
25.144	142.631
25.194	142.828
25.244	143.025
25.294	143.222
25.344	143.419
25.394	143.616
25.444	143.813
25.494	144.010
25.544	144.207
25.594	144.404
25.644	144.600
25.694	144.797
25.744	144.994
25.794	145.191
25.844	145.388
25.894	145.585
25.944	145.782
25.994	145.979
26.044	146.176
26.094	146.372
26.144	146.569
26.194	146.766
26.244	146.963
26.294	147.160
26.344	147.357
26.394	147.553
26.444	147.750
26.494	147.947
26.544	148.144
26.594	148.341
26.644	148.537
26.694	148.734
26.744	148.931
26.794	149.128
26.844	149.325
26.894	149.521
26.944	149.718
26.994	149.915
27.044	150.112
27.094	150.308
27.144	150.505
27.194	150.702
27.244	150.899
27.294	151.095
27.344	151.292
27.394	151.489
27.444	151.686
27.494	151.882
27.544	152.079
27.594	152.276
27.644	152.473
27.694	152.669
27.744	152.866
27.794	153.063
27.844	153.259
27.894	153.456
27.944	153.653
27.994	153.849
28.045	154.046
28.094	154.243
28.144	154.440
28.194	154.636
28.244	154.833
28.294	155.030
28.344	155.226
28.394	155.423
28.444	155.620
28.494	155.816
28.544	156.013
28.594	156.210
28.644	156.210
28.694	156.406
28.744	156.603
28.794	156.800
28.844	156.996
28.894	157.193
28.944	157.389
28.994	157.586
29.044	157.783
29.094	157.979
29.144	158.176
29.194	158.373
29.244	158.569
29.294	158.766
29.344	158.963
29.394	159.159
29.444	159.356
29.494	159.552
29.544	159.749
29.594	159.946
29.644	160.142
29.694	160.339
29.744	160.535
29.794	160.732
29.844	160.929
29.894	161.125
29.944	161.322
29.994	161.518
30.044	161.715
30.094	161.912
30.144	162.108
30.194	162.108
30.244	162.305
30.294	162.502
30.344	162.698
30.394	162.895
30.444	163.091
30.494	163.288
30.544	163.484
30.594	163.681
30.644	163.878
30.694	164.074
30.744	164.271
30.794	164.467
30.844	164.664
30.894	164.861
30.944	164.861
