Motion Through Fluids Experiment Mon, Sep 23, 2024 8:48 PM
Time(sec)	Position(mm)
0.019	22.994
0.069	23.838
0.119	24.471
0.169	25.314
0.219	25.945
0.269	26.787
0.319	27.418
0.369	28.049
0.419	28.679
0.469	29.308
0.519	29.937
0.569	30.566
0.619	31.195
0.669	31.823
0.719	32.451
0.769	33.078
0.819	33.705
0.869	34.331
0.919	34.958
0.969	35.585
1.019	36.001
1.069	36.626
1.119	37.251
1.169	37.877
1.219	38.291
1.269	38.917
1.319	39.541
1.369	39.954
1.419	40.579
1.469	41.202
1.519	41.824
1.569	42.239
1.619	42.860
1.669	43.275
1.719	43.896
1.769	44.308
1.819	44.930
1.869	45.344
1.919	45.964
1.969	46.377
2.019	46.997
2.069	47.616
2.119	48.028
2.169	48.441
2.219	48.853
2.269	49.471
2.319	49.883
2.369	50.295
2.419	50.913
2.469	51.324
2.519	51.941
2.569	52.352
2.619	52.969
2.669	53.379
2.719	53.790
2.769	54.406
2.819	54.816
2.869	55.432
2.919	55.842
2.969	56.251
3.019	56.866
3.069	57.276
3.119	57.685
3.169	58.299
3.219	58.708
3.269	59.321
3.319	59.730
3.369	60.139
3.419	60.547
3.469	61.160
3.519	61.568
3.569	61.976
3.619	62.588
3.669	62.996
3.719	63.404
3.769	64.015
3.819	64.423
3.869	64.830
3.919	65.237
3.969	65.848
4.019	66.254
4.069	66.661
4.119	67.068
4.169	67.678
4.219	68.084
4.269	68.490
4.319	68.896
4.369	69.505
4.419	69.911
4.469	70.317
4.519	70.723
4.569	71.332
4.619	71.736
4.669	72.141
4.719	72.547
4.769	72.952
4.819	73.561
4.869	73.964
4.919	74.368
4.969	74.773
5.019	75.177
5.069	75.582
5.119	76.188
5.169	76.592
5.219	76.996
5.269	77.400
5.319	77.804
5.369	78.208
5.419	78.815
5.469	79.015
5.519	79.418
5.569	79.822
5.619	80.225
5.669	80.629
5.719	81.232
5.769	81.635
5.819	82.038
5.869	82.442
5.919	82.845
5.969	83.246
6.019	83.648
6.069	84.051
6.119	84.655
6.169	85.058
6.219	85.458
6.269	85.860
6.319	86.263
6.369	86.665
6.419	87.067
6.469	87.468
6.519	87.870
6.569	88.270
6.619	88.671
6.669	89.072
6.719	89.675
6.769	90.076
6.819	90.477
6.869	90.878
6.919	91.279
6.969	91.678
7.019	92.080
7.069	92.481
7.119	92.881
7.169	93.281
7.219	93.682
7.269	94.082
7.319	94.482
7.369	94.882
7.419	95.282
7.469	95.682
7.519	96.082
7.569	96.481
7.619	96.881
7.669	97.281
7.719	97.680
7.769	98.079
7.819	98.479
7.869	98.878
7.919	99.277
7.969	99.676
8.019	100.075
8.069	100.474
8.119	100.873
8.169	101.272
8.219	101.671
8.269	102.070
8.319	102.468
8.369	102.867
8.419	103.265
8.469	103.664
8.519	104.062
8.569	104.460
8.619	104.859
8.669	105.257
8.719	105.655
8.769	106.053
8.819	106.451
8.869	106.650
8.919	107.048
8.969	107.445
9.019	107.843
9.069	108.241
9.119	108.638
9.169	109.036
9.219	109.434
9.269	109.831
9.319	110.228
9.369	110.626
9.419	111.023
9.469	111.420
9.519	111.619
9.569	112.016
9.619	112.413
9.669	112.810
9.719	113.207
9.769	113.604
9.819	114.000
9.869	114.397
9.919	114.794
9.969	115.191
10.019	115.587
10.069	115.785
10.119	116.182
10.169	116.578
10.219	116.975
10.269	117.371
10.319	117.767
10.369	118.164
10.419	118.560
10.469	118.956
10.519	119.154
10.570	119.550
10.619	119.946
10.669	120.342
10.719	120.738
10.769	121.134
10.819	121.530
10.869	121.926
10.919	122.124
10.969	122.519
11.019	122.915
11.069	123.311
11.119	123.706
11.169	124.102
11.219	124.497
11.269	124.695
11.319	125.090
11.369	125.486
11.419	125.881
11.469	126.276
11.519	126.672
11.569	127.067
11.619	127.264
11.669	127.660
11.719	128.055
11.770	128.450
11.819	128.845
11.869	129.240
11.919	129.437
11.969	129.832
12.019	130.030
12.069	130.622
12.119	130.819
12.169	131.214
12.219	131.609
12.269	132.004
12.319	132.201
12.369	132.596
12.419	132.990
12.469	133.385
12.519	133.781
12.569	133.977
12.619	134.371
12.669	134.766
12.719	135.160
12.769	135.556
12.819	135.752
12.869	136.148
12.919	136.541
12.969	136.935
13.019	137.330
13.069	137.526
13.119	137.922
13.169	138.315
13.219	138.709
13.269	138.906
13.319	139.301
13.369	139.694
13.419	140.090
13.469	140.482
13.519	140.679
13.569	141.075
13.619	141.467
13.669	141.863
13.719	142.256
13.769	142.453
13.819	142.847
13.869	143.241
13.919	143.635
13.969	143.832
14.019	144.226
14.069	144.620
14.119	145.013
14.169	145.210
14.219	145.604
14.269	145.998
14.319	146.391
14.369	146.588
14.419	146.982
14.469	147.375
14.519	147.769
14.569	147.966
14.619	148.359
14.669	148.753
14.719	148.950
14.769	149.343
14.819	149.737
14.869	150.130
14.919	150.327
14.969	150.721
15.019	151.114
15.069	151.507
15.119	151.704
15.169	152.098
15.219	152.491
15.269	152.688
15.319	153.081
15.369	153.278
15.419	153.671
15.469	154.065
15.519	154.458
15.569	154.655
15.619	155.048
15.669	155.441
15.719	155.638
15.769	156.031
15.819	156.424
15.869	156.621
15.919	157.014
15.969	157.408
16.019	157.604
16.069	157.997
16.119	158.391
16.169	158.784
16.219	158.981
16.269	159.374
16.319	159.767
16.369	159.964
16.419	160.357
16.469	160.750
16.519	160.947
16.569	161.340
16.619	161.733
16.669	161.930
16.719	162.323
16.769	162.716
16.819	162.912
16.869	163.306
16.919	163.699
16.969	163.895
17.019	164.288
17.069	164.682
17.119	164.878
17.169	165.271
17.219	165.665
17.269	165.861
17.319	166.254
17.369	166.647
17.419	166.844
17.469	167.237
17.519	167.630
17.569	167.827
17.619	168.220
17.669	168.417
17.719	168.810
17.769	169.203
17.819	169.399
17.869	169.793
17.919	170.186
17.969	170.382
18.019	170.776
18.069	171.169
18.119	171.365
18.169	171.758
18.219	171.955
18.269	172.348
18.319	172.741
18.369	172.938
18.419	173.331
18.469	173.528
18.519	173.921
18.569	174.314
18.619	174.511
18.669	174.708
18.719	175.101
18.769	175.494
18.819	175.691
18.869	176.084
18.919	176.281
18.969	176.674
19.019	177.067
19.069	177.264
19.119	177.657
19.169	177.854
19.219	178.247
19.269	178.640
19.319	178.837
19.369	179.230
19.419	179.427
19.469	179.820
19.519	180.214
19.569	180.411
19.619	180.804
19.669	181.001
19.719	181.394
19.769	181.591
19.819	181.984
19.869	182.378
19.919	182.575
19.969	182.968
20.019	183.165
20.069	183.558
20.119	183.755
20.169	184.149
20.219	184.345
20.269	184.739
20.319	185.133
20.369	185.329
20.419	185.723
20.469	185.920
20.519	186.313
20.569	186.510
20.619	186.904
20.669	187.101
20.719	187.495
20.769	187.888
20.819	188.085
20.869	188.479
20.919	188.676
20.969	189.070
21.019	189.266
21.069	189.660
21.119	189.857
21.169	190.251
21.219	190.448
21.269	190.842
21.319	191.039
21.369	191.433
21.419	191.630
21.469	192.024
21.519	192.221
21.569	192.615
21.619	193.009
21.669	193.206
21.719	193.600
21.769	193.797
21.819	194.191
21.869	194.388
21.919	194.585
21.969	194.980
22.019	195.177
22.069	195.571
22.119	195.768
22.169	196.162
22.219	196.360
22.269	196.754
22.319	196.951
22.369	197.345
22.419	197.543
22.469	197.937
22.519	198.134
22.569	198.529
22.619	198.726
22.669	199.121
22.719	199.318
22.769	199.515
22.819	199.910
22.870	200.107
22.919	200.502
22.969	200.699
23.019	201.094
23.069	201.291
23.119	201.686
23.169	201.883
23.219	202.278
23.269	202.475
23.319	202.870
23.369	203.068
23.419	203.463
23.469	203.660
23.519	204.055
23.569	204.253
23.619	204.648
23.669	204.845
23.719	205.043
23.769	205.438
23.819	205.635
23.869	206.030
23.919	206.228
23.969	206.623
24.019	206.821
24.069	207.216
24.119	207.414
24.169	207.612
24.219	208.007
24.269	208.205
24.319	208.600
24.369	208.798
24.419	209.193
24.469	209.391
24.519	209.589
24.569	209.985
24.619	210.182
24.669	210.578
24.719	210.776
24.769	211.172
24.819	211.370
24.869	211.567
24.919	211.963
24.969	212.161
25.019	212.557
25.069	212.755
25.119	213.151
25.169	213.151
25.219	213.547
25.269	213.745
25.319	214.141
25.369	214.339
25.419	214.537
25.469	214.934
25.519	215.132
25.569	215.528
25.619	215.726
25.669	215.924
25.719	216.321
25.769	216.519
25.819	216.915
25.869	217.114
25.919	217.312
25.969	217.708
26.019	217.907
26.069	218.303
26.119	218.502
26.169	218.700
26.219	219.097
26.269	219.295
26.319	219.494
26.369	219.890
26.419	220.089
26.469	220.486
26.519	220.684
26.569	220.883
26.619	221.280
26.669	221.478
26.719	221.677
26.769	222.074
26.819	222.273
26.869	222.670
26.919	222.869
26.969	223.067
27.019	223.465
27.069	223.663
27.119	223.862
27.169	224.260
27.219	224.458
27.269	224.657
27.319	225.055
27.369	225.254
27.419	225.453
27.469	225.850
27.519	226.049
27.569	226.248
27.619	226.646
27.669	226.845
27.719	227.044
27.769	227.442
