Motion Through Fluids Experiment Mon, Sep 23, 2024 8:53 PM
Time(sec)	Position(mm)
0.010	17.487
0.060	19.819
0.110	21.937
0.160	23.838
0.210	25.735
0.260	27.418
0.310	29.098
0.360	30.566
0.410	32.240
0.460	33.496
0.510	34.956
0.560	36.417
0.610	37.665
0.660	39.123
0.710	39.953
0.760	41.200
0.810	42.651
0.860	43.894
0.910	45.135
0.960	46.375
1.010	47.614
1.060	48.851
1.110	50.088
1.160	51.322
1.210	52.351
1.260	53.582
1.310	54.813
1.360	55.840
1.410	57.069
1.460	58.297
1.510	59.320
1.560	60.546
1.610	61.567
1.660	62.791
1.710	63.810
1.760	65.032
1.810	66.049
1.860	67.068
1.910	68.284
1.960	69.301
2.010	70.315
2.060	71.532
2.110	72.545
2.160	73.557
2.210	74.569
2.260	75.580
2.310	76.591
2.360	77.601
2.410	78.610
2.460	79.618
2.510	80.626
2.560	81.634
2.610	82.641
2.660	83.647
2.710	84.652
2.760	85.658
2.810	86.662
2.860	87.666
2.910	88.669
2.960	89.672
3.010	90.474
3.060	91.476
3.110	92.478
3.160	93.479
3.210	94.479
3.260	95.279
3.310	96.279
3.360	97.278
3.410	98.077
3.460	99.075
3.510	100.073
3.560	100.870
3.610	101.867
3.660	102.864
3.710	103.661
3.760	104.657
3.810	105.453
3.860	106.448
3.910	107.443
3.960	108.039
4.010	108.834
4.060	109.828
4.110	110.623
4.160	111.616
4.210	112.410
4.260	113.402
4.310	114.196
4.360	114.989
4.410	115.981
4.460	116.774
4.510	117.765
4.560	118.557
4.610	119.349
4.660	120.340
4.710	121.131
4.760	122.121
4.810	122.912
4.860	123.703
4.910	124.692
4.960	125.483
5.010	126.274
5.060	127.064
5.110	128.052
5.160	128.842
5.210	129.632
5.260	130.621
5.310	131.409
5.360	132.198
5.410	132.988
5.460	133.777
5.510	134.764
5.560	135.553
5.610	136.341
5.660	137.129
5.710	137.918
5.760	138.706
5.810	139.693
5.860	140.481
5.910	141.268
5.960	142.056
6.010	142.844
6.060	143.631
6.110	144.419
6.161	145.206
6.210	145.994
6.260	146.781
6.310	147.570
6.361	148.356
6.410	149.144
6.460	149.931
6.510	150.718
6.560	151.702
6.610	152.292
6.660	153.079
6.710	153.865
6.760	154.652
6.810	155.439
6.860	156.224
6.910	157.011
6.960	157.797
7.010	158.585
7.060	159.371
7.110	160.158
7.160	160.944
7.210	161.729
7.260	162.517
7.310	162.909
7.360	163.696
7.410	164.483
7.460	165.269
7.510	166.055
7.560	166.645
7.610	167.431
7.660	168.217
7.710	169.004
7.760	169.789
7.810	170.577
7.860	171.166
7.910	171.953
7.960	172.739
8.010	173.526
8.060	174.115
8.110	174.902
8.160	175.688
8.210	176.475
8.260	177.065
8.310	177.852
8.360	178.637
8.410	179.228
8.460	180.015
8.510	180.802
8.560	181.589
8.610	182.179
8.660	182.966
8.710	183.556
8.760	184.342
8.810	185.129
8.860	185.721
8.910	186.507
8.960	187.296
9.010	187.885
9.060	188.674
9.110	189.264
9.160	190.052
9.210	190.840
9.260	191.431
9.310	192.219
9.360	192.809
9.410	193.598
9.460	194.189
9.510	194.978
9.560	195.569
9.610	196.357
9.660	196.949
9.710	197.738
9.760	198.328
9.810	199.118
9.860	199.709
9.910	200.500
9.960	201.092
10.010	201.881
10.060	202.473
10.110	203.066
10.160	203.856
10.210	204.448
10.260	205.238
10.310	205.831
10.360	206.424
10.410	207.214
10.460	207.806
10.510	208.598
10.560	208.994
10.610	209.587
10.660	210.378
10.710	210.972
10.760	211.565
10.810	212.357
10.860	212.951
10.910	213.545
10.960	214.139
11.010	214.932
11.060	215.526
11.110	216.120
11.160	216.913
11.210	217.508
11.260	218.103
11.310	218.698
11.360	219.293
11.410	220.087
11.460	220.682
11.510	221.278
11.560	221.874
11.610	222.668
11.660	223.264
11.710	223.860
11.760	224.457
11.810	225.053
11.860	225.650
11.910	226.445
11.960	227.042
12.010	227.639
12.060	228.236
12.110	228.833
12.160	229.431
12.210	230.029
12.260	230.826
12.310	231.424
12.360	232.022
12.410	232.620
12.460	233.219
12.510	233.817
12.560	234.416
12.610	235.015
12.660	235.614
12.710	236.213
12.760	236.813
12.810	237.412
12.860	238.012
12.910	238.612
12.960	239.212
13.010	239.812
13.060	240.413
13.110	241.014
13.160	241.614
13.210	242.215
13.260	242.817
13.310	243.418
13.360	244.019
13.410	244.620
13.460	245.222
13.510	245.825
13.560	246.428
13.610	247.030
13.660	247.633
13.710	248.236
13.760	248.839
13.810	249.442
13.860	249.845
13.910	250.448
13.960	250.851
14.010	251.455
14.060	252.059
14.110	252.663
14.160	253.268
14.210	253.873
14.260	254.478
14.310	254.881
14.360	255.487
14.410	256.092
14.460	256.698
14.510	257.304
14.560	257.911
14.610	258.517
14.660	258.922
14.710	259.529
14.760	260.136
14.810	260.743
14.860	261.351
14.910	261.756
14.960	262.364
15.010	262.972
15.060	263.581
15.110	264.190
15.160	264.596
15.210	265.205
15.260	265.814
15.310	266.424
15.360	266.830
15.410	267.440
15.460	268.051
15.510	268.458
15.560	269.069
15.610	269.680
15.660	270.291
15.710	270.698
15.760	271.310
15.810	271.922
15.860	272.330
15.910	272.943
15.960	273.555
16.010	274.168
16.060	274.577
16.110	275.191
16.160	275.804
16.210	276.214
16.260	276.828
16.310	277.442
16.360	277.852
16.410	278.467
16.460	279.082
16.510	279.493
16.560	280.108
16.610	280.724
16.660	281.135
16.710	281.752
16.760	282.163
16.810	282.780
16.860	283.397
16.910	283.809
16.960	284.427
17.010	284.839
17.060	285.251
17.110	286.076
17.160	286.282
17.210	286.901
17.260	287.314
17.310	287.934
17.360	288.554
17.410	288.967
17.460	289.588
17.510	290.002
17.560	290.623
17.610	0.000
17.660	0.000
17.710	0.000
17.760	0.000
17.810	0.000
17.860	0.000
17.910	0.000
17.960	0.000
18.010	0.000
18.060	0.000
18.110	0.000
18.160	0.000
18.210	0.000
18.260	0.000
18.310	0.000
18.360	0.000
18.410	0.000
18.460	0.000
18.510	0.000
18.560	0.000
18.610	0.000
18.660	0.000
18.710	0.000
18.760	0.000
18.810	0.000
18.860	0.000
18.910	0.000
18.960	0.000
19.010	0.000
19.060	0.000
19.110	0.000
19.160	0.000
19.210	0.000
19.260	0.000
19.310	0.000
19.360	0.000
19.410	0.000
19.460	0.000
19.510	0.000
19.560	0.000
19.610	0.000
19.660	0.000
19.710	0.000
19.760	0.000
19.810	0.000
19.860	0.000
19.910	0.000
19.960	0.000
