Motion Through Fluids Experiment Mon, Sep 23, 2024 8:59 PM
Time(sec)	Position(mm)
0.028	3.135
0.078	2.267
0.128	27.619
0.178	30.557
0.228	33.278
0.278	35.783
0.328	38.283
0.378	40.569
0.428	42.643
0.478	44.920
0.528	47.193
0.578	49.255
0.628	51.314
0.678	53.370
0.728	55.217
0.778	57.061
0.828	59.107
0.878	61.152
0.928	62.986
0.978	64.209
1.028	66.652
1.078	67.871
1.128	69.699
1.178	71.524
1.228	73.349
1.278	74.966
1.328	76.785
1.378	78.602
1.428	80.217
1.478	82.029
1.528	83.842
1.578	85.450
1.628	87.056
1.678	88.862
1.728	90.468
1.778	92.070
1.828	93.673
1.878	95.473
1.928	97.072
1.978	98.670
2.028	100.266
2.078	101.662
2.128	103.257
2.178	104.850
2.228	106.442
2.278	108.034
2.328	109.624
2.378	111.014
2.428	112.603
2.478	114.190
2.528	115.579
2.578	117.165
2.628	118.552
2.678	120.136
2.728	121.522
2.778	123.105
2.828	124.489
2.878	125.873
2.928	127.454
2.978	128.837
3.028	130.219
3.078	131.798
3.128	133.180
3.178	134.561
3.228	135.941
3.278	137.321
3.328	138.701
3.378	140.081
3.428	141.460
3.478	142.838
3.528	144.217
3.578	145.595
3.628	146.973
3.678	148.352
3.728	149.729
3.778	151.107
3.828	152.484
3.878	153.663
3.929	155.041
3.978	156.417
4.028	157.794
4.078	158.972
4.128	159.956
4.178	161.726
4.228	162.905
4.278	163.888
4.328	165.068
4.378	166.444
4.428	167.622
4.478	168.999
4.528	170.179
4.578	171.555
4.628	172.735
4.678	174.111
4.728	175.291
4.778	176.469
4.828	177.847
4.878	179.027
4.928	180.207
4.978	181.388
5.028	182.765
5.078	183.945
5.128	185.126
5.178	186.503
5.229	187.488
5.278	188.866
5.328	190.048
5.378	191.230
5.428	192.412
5.478	193.594
5.528	194.776
5.578	195.959
5.628	197.142
5.678	198.325
5.728	199.509
5.778	200.693
5.828	201.877
5.878	202.864
5.928	204.049
5.978	205.234
6.028	206.420
6.078	207.606
6.128	208.594
6.178	209.781
6.228	210.968
6.278	211.957
6.328	213.145
6.378	214.333
6.428	215.324
6.478	216.513
6.528	217.504
6.578	218.694
6.628	219.885
6.678	220.877
6.728	222.069
6.778	223.062
6.828	224.055
6.878	225.248
6.928	226.243
6.978	227.436
7.028	228.432
7.078	229.427
7.128	230.623
7.178	231.620
7.228	232.617
7.278	233.814
7.328	234.812
7.378	235.810
7.428	236.410
7.478	237.809
7.528	238.609
7.578	239.609
7.628	240.610
7.678	241.611
7.728	242.613
7.778	243.615
7.828	244.618
7.879	245.621
7.928	246.625
7.978	247.630
8.028	248.635
8.078	249.640
8.128	250.646
8.178	251.653
8.228	252.660
8.278	253.668
8.328	254.676
8.378	255.686
8.428	256.695
8.478	257.705
8.528	258.514
8.578	259.526
8.628	260.538
8.678	261.550
8.728	262.361
8.778	263.375
8.828	264.390
8.878	265.406
8.928	266.218
8.978	267.234
9.028	268.251
9.078	269.066
9.128	270.084
9.178	270.899
9.228	271.919
9.278	272.940
9.328	273.757
9.378	274.779
9.428	275.597
9.478	276.620
9.528	277.440
9.578	278.464
9.628	279.285
9.678	280.311
9.728	281.133
9.778	282.160
9.828	282.983
9.878	284.012
9.928	284.836
9.978	285.867
