Motion Through Fluids Experiment Mon, Sep 23, 2024 6:59 PM
Time(sec)	Position(mm)
0.013	0.000
0.063	0.000
0.113	0.000
0.163	0.000
0.213	0.000
0.263	0.000
0.313	0.000
0.363	3.719
0.413	0.000
0.463	0.000
0.513	0.000
0.563	0.000
0.613	66.667
0.663	70.323
0.713	73.956
0.763	77.594
0.813	81.225
0.863	84.847
0.913	88.463
0.963	92.071
1.013	95.679
1.063	99.478
1.113	102.868
1.163	106.647
1.213	110.230
1.263	113.803
1.313	117.366
1.363	120.935
1.413	124.497
1.463	128.053
1.513	131.608
1.563	135.360
1.613	138.910
1.663	141.274
1.713	144.815
1.763	148.359
1.813	151.900
1.863	155.638
1.913	159.177
1.963	162.717
2.013	166.452
2.063	169.990
2.113	173.529
2.163	177.069
2.213	180.805
2.263	184.351
2.313	187.890
2.363	191.436
2.413	195.183
2.463	198.729
2.513	202.281
2.563	206.030
2.613	209.596
2.663	213.151
2.713	216.723
2.763	220.295
2.813	224.069
2.863	227.648
2.913	231.228
2.963	234.819
3.013	238.415
3.063	242.218
3.113	245.829
3.163	249.251
3.213	252.875
3.263	256.702
3.313	260.146
3.363	263.794
3.413	267.451
3.463	271.117
3.513	274.793
3.563	278.478
3.613	0.000
3.663	0.000
3.713	0.000
3.763	0.000
3.813	0.000
3.863	0.000
3.913	0.000
3.963	0.000
4.013	0.000
4.063	0.000
4.113	0.000
4.163	0.000
4.213	0.000
4.263	0.000
4.313	0.000
4.363	0.000
4.413	0.000
4.463	0.000
4.513	0.000
4.563	0.000
4.613	0.000
4.663	0.000
4.713	0.000
4.763	0.000
4.813	0.000
4.863	0.000
4.913	0.000
4.963	0.000
