Motion Through Fluids Experiment Mon, Sep 23, 2024 7:19 PM
Time(sec)	Position(mm)
0.040	12.381
0.090	12.806
0.140	0.000
0.190	12.983
0.240	12.338
0.290	9.767
0.340	6.330
0.390	4.173
0.440	3.528
0.490	34.501
0.540	38.671
0.590	43.032
0.640	1.331
0.690	51.910
0.740	56.427
0.790	60.929
0.840	65.416
0.890	69.888
0.940	74.548
0.990	79.196
1.040	83.628
1.090	88.250
1.140	93.060
1.190	97.659
1.240	102.248
1.290	107.029
1.340	111.600
1.390	116.362
1.440	120.920
1.490	125.667
1.540	130.212
1.590	1.114
1.640	139.680
1.690	144.407
1.740	148.935
1.790	153.656
1.840	158.377
1.890	163.096
1.940	167.619
1.990	172.337
2.040	177.056
2.090	181.778
2.140	186.501
2.190	191.227
2.240	195.760
2.290	200.493
2.340	205.232
2.390	209.977
2.440	214.530
2.490	219.288
2.540	224.054
2.590	228.828
2.640	233.413
2.690	238.208
2.740	242.812
2.790	247.629
2.840	252.256
2.890	256.896
2.940	261.752
2.990	266.420
3.040	271.103
3.090	275.801
3.140	280.721
3.190	285.454
3.240	288.550
3.290	0.000
3.340	0.000
3.390	0.000
3.440	0.000
3.490	0.000
3.540	0.000
3.590	0.000
3.640	0.000
3.690	0.000
3.740	0.000
3.790	0.000
3.840	0.000
3.890	0.000
3.940	0.000
3.990	0.000
