Motion Through Fluids Experiment Mon, Sep 23, 2024 7:31 PM
Time(sec)	Position(mm)
0.043	52.104
0.093	57.234
0.143	62.547
0.193	67.842
0.243	73.320
0.293	78.577
0.343	84.021
0.393	89.447
0.443	94.858
0.493	100.055
0.543	105.440
0.593	110.813
0.643	116.174
0.693	121.524
0.743	126.867
0.793	132.200
0.843	137.723
0.893	141.272
0.943	146.588
0.993	151.902
1.043	157.410
1.093	162.718
1.143	168.027
1.193	173.532
1.243	178.842
1.293	184.351
1.343	189.666
1.393	194.984
1.443	200.308
1.493	205.639
1.543	210.978
1.593	216.324
1.643	221.681
1.693	227.048
1.743	232.427
1.793	237.618
1.843	243.024
1.893	248.243
1.943	253.679
1.993	258.929
2.043	264.198
2.093	269.688
2.143	274.995
2.193	280.323
2.243	285.673
2.293	291.047
2.343	0.000
2.393	0.000
2.443	0.000
2.493	0.000
2.543	0.000
2.593	0.000
2.643	0.000
2.693	0.000
2.743	0.000
2.793	0.000
2.843	0.000
2.893	0.000
2.943	0.000
2.993	0.000
3.043	0.000
3.093	0.000
3.143	0.000
3.193	0.000
3.243	0.000
3.293	0.000
3.343	0.000
3.393	0.000
3.443	0.000
3.493	0.000
