Motion Through Fluids Experiment Mon, Sep 23, 2024 7:34 PM
Time(sec)	Position(mm)
0.044	13.030
0.094	12.393
0.144	10.257
0.194	6.824
0.244	4.240
0.294	33.725
0.344	39.140
0.394	44.528
0.444	50.096
0.494	53.793
0.544	1.114
0.594	65.231
0.644	71.323
0.694	77.392
0.744	83.441
0.794	89.669
0.844	95.877
0.894	102.068
0.944	108.440
0.994	114.797
1.044	121.138
1.094	127.469
1.144	133.787
1.194	140.294
1.244	146.598
1.294	153.091
1.344	159.581
1.394	166.069
1.444	172.753
1.494	179.243
1.544	185.735
1.594	192.233
1.644	198.935
1.694	205.448
1.744	211.972
1.794	218.508
1.844	225.060
1.894	231.628
1.944	238.215
1.994	244.822
2.044	251.453
2.094	258.109
2.144	264.793
2.194	271.304
2.244	278.050
2.294	284.625
2.344	0.000
2.394	0.000
2.444	0.000
2.494	0.000
2.544	0.000
2.594	0.000
2.644	0.000
2.694	0.000
2.744	0.000
2.794	0.000
2.844	0.000
2.894	0.000
2.944	0.000
2.994	0.000
