Motion Through Fluids Experiment Mon, Sep 23, 2024 7:55 PM
Time(sec)	Position(mm)
0.014	5.029
0.064	3.088
0.114	2.655
0.164	41.980
0.214	48.386
0.264	54.757
0.314	61.296
0.364	68.007
0.414	74.891
0.464	81.946
0.514	88.975
0.564	96.378
0.615	103.760
0.664	111.315
0.714	118.851
0.764	126.569
0.814	134.075
0.864	141.768
0.914	149.452
0.964	157.131
1.014	165.002
1.064	172.677
1.114	180.352
1.164	187.834
1.214	192.958
1.264	200.651
1.314	208.356
1.364	216.078
1.414	223.819
1.464	231.583
1.514	239.173
1.564	246.792
1.614	254.443
1.664	261.926
1.715	269.446
1.764	277.006
1.814	284.610
1.865	0.000
1.914	0.000
1.964	0.000
2.014	0.000
2.064	0.000
2.114	0.000
2.164	0.000
2.214	0.000
2.264	0.000
2.314	0.000
2.364	0.000
2.414	0.000
2.464	0.000
